,City Name,Lat,Long,Temperature,Humidity,Cloudiness,Wind Speed
130,aykhal,66.22553135425233,111.85454909346703,-13,69,7,4
131,vao,-28.994738069974993,165.354605510277,77,80,5,14
132,bilibino,67.88680886340308,166.72978581615382,0,85,97,2
133,ketchikan,54.70783727552654,-132.7827678657726,42,70,90,3
135,yar-sale,70.11294043328127,70.25832558183825,-6,96,91,13
136,bethel,59.97969232451766,-156.8644862993229,39,84,90,13
137,port shepstone,-37.675243980943904,40.4864683279182,62,87,94,4
138,orapa,-21.53889542379497,25.200656385496927,74,65,89,10
139,wodonga,-36.75376875111469,147.1682373606041,84,32,68,3
140,hauknes,66.02201287719964,14.112440780620716,19,67,100,13
142,bredasdorp,-58.15033605151264,21.507602506097413,54,82,89,1
143,viedma,-41.27414354123567,-63.338730193091266,76,18,18,12
144,voyvozh,63.321206364180824,55.63390831294538,-13,98,100,5
145,harer,9.535806214198814,42.38752274312097,55,94,78,1
147,bemidji,47.56366999484868,-95.24270245718543,12,92,90,4
148,aquidauana,-20.120997105401827,-55.76345009345084,83,55,45,7
149,provideniya,40.44954679326284,-178.67877016700177,1,77,75,11
150,gashua,12.985717946270327,11.517550883466583,62,14,0,8
151,lebu,-36.55161468887289,-81.36560024827918,60,75,48,10
152,calamar,1.840313980243593,-72.33976107341661,82,78,40,9
154,te anau,-41.56980392457761,160.00995814548634,61,66,41,5
155,bambous virieux,-27.87692378934591,68.53328252162328,71,83,40,5
156,mar del plata,-68.20599674595772,-25.211626757308352,59,67,0,5
158,komsomolets,53.31618736353602,62.114191845723724,5,93,100,8
159,saint george,29.740732046498806,-48.0462383300661,54,37,1,10
161,sitka,50.775096375698695,-141.60426283192757,37,78,75,13
162,sidi bin nur,35.40963614242929,11.265028684821061,53,93,20,4
163,bengkulu,-10.422689777537059,91.03108812475608,74,86,94,3
164,ancud,-42.339211653228176,-94.80652836495766,60,93,20,11
165,mahebourg,-26.900716741842544,63.28957380135202,71,83,40,5
166,galle,4.72910181483131,79.54425896030966,77,85,97,5
167,sao filipe,10.337245185091291,-35.89216444426296,74,55,0,15
168,tura,66.35655172362286,97.71510383528164,55,75,0,3
169,yangcun,39.756260712656456,117.45144805451207,32,72,100,2
170,olafsvik,66.28304862823401,-26.530031385146913,32,91,76,12
171,aklavik,75.94764895073311,-143.3970296853081,-22,67,90,6
172,laguna,-43.01063134980103,-32.78415201580796,59,59,20,6
173,tasiilaq,61.968699352818305,-36.7000587675214,28,58,100,4
174,mareeba,-17.310466566171172,143.63487979111898,79,94,75,5
175,sapa,3.142591657902088,121.73117014182174,82,74,58,5
176,okha,55.27759047987627,145.7105414852386,3,86,99,8
178,paulo afonso,-9.55435931739268,-38.393917597130894,79,73,89,9
180,guarapari,-21.673258456335674,-39.084334171003206,75,94,90,4
181,sorong,1.6497832987017063,130.30393060204398,83,65,12,2
182,talaya,59.64422479615837,153.44359784224105,-4,100,52,1
183,morant bay,17.62597885819224,-75.5173438670327,75,69,40,4
184,polunochnoye,62.43956490903898,59.70289521367246,-6,94,96,4
185,morlaix,48.30705476881843,-3.692445779271395,42,86,100,14
186,oktyabrskoye,62.893615036200345,66.60295543112406,30,58,21,2
187,huarmey,-14.975932118875946,-87.76684543245383,73,68,71,5
188,francistown,-21.359607773243567,27.96318335009005,70,78,54,16
189,amga,59.74822366279403,132.55818681857465,-8,96,100,4
190,beloha,-33.34099869182621,41.51619765525831,71,91,1,4
191,toba,33.07550787829854,137.38714405421172,52,81,75,5
193,sorland,68.58142422499563,12.022489659921433,28,76,100,25
194,padang,-7.836853413043826,92.33877574285214,68,95,86,3
195,thompson,80.01764965352731,-96.07139884361646,10,92,90,2
196,praia,12.144681113461715,-23.704736263244172,73,60,0,16
197,la baule-escoublac,46.24138547812461,-3.093147816814678,45,87,100,20
198,butaritari,17.41807692571564,177.15041055352435,84,78,77,21
199,gornopravdinsk,59.165874909936946,70.21112972317403,-1,96,100,5
200,baoning,32.04861072034947,106.33132554951936,39,86,75,4
201,erdenet,48.679117370676096,105.56845945550549,0,80,56,1
202,kruisfontein,-56.49961951237587,26.667339422606034,56,80,100,3
203,coquimbo,-27.185617133197738,-89.81185633516894,66,82,75,5
204,coruripe,-13.580754620779075,-32.53758185698385,80,82,93,10
205,flin flon,55.93254581217582,-103.3014108919723,14,92,90,6
206,samarai,-12.26743106676058,150.95828310231065,89,55,100,1
207,santa cruz,7.490045280669065,-90.72732810277931,75,94,90,2
208,vila,-16.86049460613023,171.66967166413457,52,93,75,2
209,torbay,47.28374360591758,-42.9588428463407,34,89,75,14
211,chernyshevskiy,64.02818201032929,112.52024396725454,-13,97,0,3
212,mount isa,-19.387443595510774,142.27066855905377,84,66,90,13
213,san isidro,5.395134379564084,130.0194849397061,77,78,90,14
214,kantemirovka,49.80464295130085,39.86899161042149,30,95,100,5
216,huilong,33.371978732175805,124.7947255817731,39,88,100,7
217,abu zabad,11.6916184522033,28.645770455266785,59,22,0,11
218,vila franca do campo,33.5677654490013,-23.63204617583483,62,100,75,19
219,yulara,-21.64236013275955,128.28259178809816,95,14,0,19
220,jiblah,14.060580926334765,43.76908908076538,59,84,72,1
221,ribeira grande,28.249833670519052,-39.24106821483156,64,93,75,16
222,rosario,-32.946305743917414,-60.82435925283667,71,46,17,6
223,saskylakh,88.79978999466496,109.52499136963513,-24,96,53,3
224,ternate,2.340582409611855,127.98460672933805,82,75,91,1
225,usakos,-21.366518705804694,15.115989887271496,74,27,20,1
227,hambantota,-2.255925566502043,84.40930176005037,76,75,71,17
228,misratah,33.70113625114985,16.616788616955517,60,69,0,8
229,kahului,22.869968597683,-155.19754434344114,79,42,20,14
230,faanui,-13.009537616288696,-157.81910738423363,83,74,82,11
231,westport,55.396514174651145,-12.029694815268442,40,56,90,9
232,opuwo,-18.179670618769492,13.473702662330027,74,41,97,9
233,eston,50.75671325764861,-108.61544008921,25,100,90,6
234,nioro,17.55064085662363,-10.47587655283121,79,8,37,6
235,chuy,-35.03572526331339,-52.88131349823584,62,75,0,7
236,kununurra,-19.64391512476611,129.9866023871923,91,63,95,8
237,chokurdakh,79.15277766616373,145.91673913676266,-21,97,100,7
238,pucallpa,-9.24891912576004,-74.33043052094631,87,66,40,2
239,salalah,19.689982791863542,53.45456797554067,62,29,0,17
240,comodoro rivadavia,-49.55764345771429,-62.92959547768456,78,36,61,18
242,wajima,38.54012119926483,135.34527146742727,44,87,75,10
243,hervey bay,-25.304214679839845,154.5944750095752,84,74,75,14
244,ormara,23.04642110369292,64.62694015064349,63,50,0,28
245,avarua,-16.28544169563726,-158.5519572819193,75,94,100,6
246,meadow lake,53.68774228508886,-108.23164468167238,40,68,40,8
247,kiama,-37.758189906061055,155.7712247326765,80,69,75,3
248,felipe carrillo puerto,19.183623756103714,-87.3910536871111,76,71,28,4
249,bahawalnagar,30.131333958549988,73.24100851063179,51,96,84,7
250,rock springs,41.27602832616603,-108.78933588915731,28,68,1,21
251,byron bay,-27.561272343710087,160.24007467180553,82,69,75,8
252,kaitangata,-85.99757405848175,179.49936929283592,68,64,53,9
253,asau,-5.905422077912675,179.87157005629336,34,85,98,3
255,bac lieu,8.42126912435613,106.53098709006582,72,91,69,3
256,paita,-6.83752955999482,-83.67128446183395,62,100,1,4
257,sao felix do xingu,-5.762309896275255,-52.09353107754956,73,96,80,4
258,la ronge,58.967137626537834,-103.99332320855015,12,92,90,3
259,puerto ayora,4.216944856660078,-94.45612839310128,79,61,75,4
260,dejen,10.283231922599228,37.91713213985531,62,28,0,2
261,constitucion,12.419581737840218,-129.05918781187438,61,73,0,13
262,hovd,45.80398652895573,100.10176774349219,5,58,0,2
263,dunedin,-53.695003661312704,177.75851696781427,68,64,74,6
265,clarence town,21.98647138787115,-73.65889675095195,89,58,75,13
266,naze,25.24074249342459,137.01740971703458,61,72,75,17
267,eureka,41.29102197675866,-127.31710998763207,54,87,90,5
268,kaifeng,34.48079431501807,114.66707486187107,24,92,0,2
269,mariinsk,56.69598721700592,87.91430681503294,24,85,100,9
270,rio gallegos,-52.63945619324736,-67.35444543442759,51,93,90,17
271,kropotkin,58.92024157029999,115.82991992522977,38,78,100,5
272,phan thiet,11.478982860237068,107.78102599293749,68,81,37,2
273,san francisco,-29.641432022639805,-62.49662607382446,56,82,1,5
274,neuquen,-39.11085234809833,-67.89359868949883,80,42,29,6
275,praia da vitoria,48.30375291725585,-21.603749311532823,64,93,75,33
276,mackay,-16.992865818211655,154.63063666401155,80,88,75,6
278,igarka,67.35094781030989,84.73379970922741,7,93,100,16
279,stawell,-37.138861690224665,142.6256226410011,73,31,97,10
280,hasaki,34.25805295682372,146.64019172110903,41,100,75,10
281,wewak,-2.867483338647844,144.59985019527795,77,87,98,3
282,keita,14.860791456997134,6.021489973424622,59,11,16,4
283,fortuna,37.40425288166608,-130.87798357829982,54,87,90,5
284,springbok,-30.193904006490683,18.22544739337914,60,30,55,4
285,beringovskiy,63.050577661616984,178.01918642177282,11,79,78,6
286,namibe,-16.598892032879732,7.168969995398669,75,79,100,2
287,port hardy,44.059527986926526,-138.02327118395044,44,81,75,21
288,ikalamavony,-21.027039867929815,45.800215383638715,66,88,3,3
289,loandjili,-4.66072482090587,11.510348580535208,84,83,40,5
290,fecamp,50.2236164523774,0.5369354854110213,45,81,92,21
291,caravelas,-21.832518515415927,-23.635329711221488,80,87,100,15
292,pangnirtung,70.23102806221564,-62.2580813599897,-22,67,86,3
293,touros,0.07311639717077867,-34.76229711489677,80,83,97,9
294,nyurba,65.91519149264843,117.72994768571988,-27,93,39,2
295,ferkessedougou,9.626317074465618,-4.855428916651391,70,11,40,1
296,hermiston,45.25894682692817,-119.58764231683034,47,53,90,6
297,new richmond,47.81404962913777,-65.9575406226975,23,85,90,9
298,mata,20.38815670644871,111.62971506390892,52,96,99,8
299,maues,-4.23882846629094,-58.125638556382185,80,71,78,2
300,grindavik,54.28198691124459,-24.15752475153812,33,71,75,4
301,sao joao da barra,-30.942386981518922,-27.69983655192854,77,90,100,10
302,juegang,34.20238460805703,123.60834330591098,39,88,100,12
303,kupang,-11.924331030739864,124.02620891282658,86,79,40,6
305,dicabisagan,17.72401522313632,125.19502719511394,75,76,66,4
307,black river,16.037104276345246,-79.96014796214686,78,74,20,5
308,emba,48.46504209676465,59.72318233926282,15,90,62,17
309,camacha,35.00632761268156,-16.555396669059178,57,82,20,6
310,nouakchott,18.958256063363976,-17.221762575085478,69,40,0,9
313,topolobampo,25.48898899953504,-109.2296103142172,71,36,5,19
314,honiara,-11.235344441420906,159.2107973630503,87,66,75,6
315,mamburao,13.201102544481301,120.57814367661467,78,71,70,3
316,polonnaruwa,7.799802980065138,81.22541638519226,66,93,93,1
317,ahipara,-31.51413307404448,172.72627676377897,69,77,0,9
318,lavrentiya,68.51263410939876,-167.60027501719253,-10,71,60,3
319,barra do garcas,-14.454961523855687,-52.84595030174238,73,94,85,4
320,the pas,53.93132178873432,-100.91594424175155,12,92,90,3
321,george town,19.015853410103716,-81.9352546324614,79,78,20,2
322,vestmanna,66.05972102471841,-7.4832659689448064,33,78,70,2
323,marsh harbour,29.19006826943493,-73.09046197759368,72,70,98,6
325,kushiro,40.172828981004926,145.44838820078536,21,67,20,2
326,kodinar,20.36318565183069,70.58502530899526,60,77,9,4
327,kutum,16.453085517160986,25.466518384012033,47,24,77,3
328,palmer,57.4462445462579,-146.21548581527927,36,60,90,9
329,pafos,33.675510400264585,32.483435752125445,49,87,90,6
330,san-pedro,2.4889526524080168,-5.772927197635681,82,78,26,14
331,erenhot,44.21519615655015,112.7634906098503,17,86,100,3
332,bull savanna,15.313622338021716,-77.0127146517093,66,88,59,1
333,isla mujeres,22.22424124367825,-86.37138436876486,77,65,75,5
334,hualmay,-16.638671691461937,-89.42470423276193,71,79,89,5
335,clyde river,72.91072251202465,-75.42088230866426,-23,74,5,8
337,peniche,40.42459836582486,-12.674006128609506,57,100,75,11
338,kumla,58.820610407560935,15.346014567656482,38,86,100,4
339,pijijiapan,14.814256450976927,-93.77763989377158,76,77,48,4
340,port-gentil,-3.67776668680861,0.9883507776872023,82,77,5,7
341,chirongui,-14.404254405390176,44.629347472594304,78,94,0,2
342,kargasok,58.9774110032823,79.98009455224212,12,89,93,13
343,punta de bombon,-17.341795068071576,-71.905720189148,71,87,55,6
345,itoman,19.749887187524763,131.17893518609094,64,59,75,13
346,jieshi,21.06726402106402,115.81000737120337,48,69,65,3
347,chicama,-11.08917136153697,-84.91405668644063,71,94,20,9
348,chanute,37.70434754606356,-95.4969321631304,43,75,1,6
349,flic en flac,-20.32345493965785,57.106556648313244,71,83,40,5
350,luwuk,-2.497350521854898,124.02976674886787,81,80,22,4
351,mounana,-1.4140580714207687,13.488071279923957,73,78,98,2
352,bolu,40.04116346286159,31.412335002583745,31,76,100,4
353,gorontalo,0.7299746497384092,121.8905573172849,79,85,43,3
355,figeac,44.60056602729199,2.1538604724891854,43,93,100,14
356,evensk,64.13115889053833,160.68934428603836,18,94,100,6
358,champerico,8.019731970358436,-94.82443727963273,80,78,40,6
359,tilichiki,59.45602052658222,166.9787805609527,15,91,100,7
360,xining,32.87920360255487,98.42587098972791,12,71,83,3
361,salym,60.44209932216734,70.79241182653371,0,95,100,6
362,irbit,57.75291389311434,63.1947399105822,-8,98,79,7
363,saldanha,-34.39872813363901,14.449802649510758,57,76,76,5
364,tahta,25.711072593830238,29.7546280730634,46,52,39,6
365,payson,34.414692860137635,-111.07786520630962,37,64,90,4
366,alofi,-20.7005993373034,-169.1934102523814,84,74,20,6
367,cocorit,27.756096384128284,-109.77447983669914,75,33,5,8
368,vernon,33.60880851221968,-99.05356889260538,39,90,1,6
369,otane,-41.35846587149394,177.48296010003594,82,59,0,10
370,prince george,54.07762176583566,-122.30250398859204,35,69,1,4
371,ilulissat,69.11252227209397,-44.821988372068745,6,60,90,6
372,tarko-sale,64.14596949748022,77.98117916139682,0,85,100,14
373,shimoda,27.56459180780878,139.85268766853085,44,93,75,32
374,turukhansk,66.08348345156412,88.25006217643835,12,90,100,15
375,male,4.367396671941989,73.67682638898634,80,83,75,4
376,marawi,20.89327968879111,31.942666532349733,82,82,100,5
377,mount gambier,-44.34504188457004,134.88260537119464,69,56,99,8
378,abu dhabi,23.329753670054416,54.39968521358307,64,59,20,9
379,belaya gora,69.75758646076758,144.5049175505821,-30,98,93,4
380,port macquarie,-33.48573144242617,163.00003629909162,89,55,0,4
381,san rafael,-17.335246239280963,-59.948948840093095,77,47,26,14
382,mundo nuevo,19.813273524587316,-94.38648826418955,74,86,3,6
383,griffith,-34.78837068193185,145.90890979373972,32,97,90,2
384,nanortalik,52.90062697472189,-35.46949531338589,20,66,0,27
385,petropavlovsk-kamchatskiy,52.687674295505104,159.00613272969605,30,63,82,6
386,deputatskiy,70.79894907744972,141.636210987269,-32,68,80,6
387,mulanje,-15.902468950595335,35.48979192505524,66,96,100,4
388,dikson,81.62376519768898,76.3234327284485,-10,97,99,4
389,narsaq,89.01427786771168,-63.2906959803595,14,61,98,6
391,aripuana,-8.450903601104159,-60.706808603838624,76,92,67,1
392,outlook,51.03851577913903,-106.78905664375752,24,95,100,5
393,horsham,-36.017420617857645,140.99323053141183,41,93,40,9
394,kumluca,34.44203944830754,30.251215098897745,49,90,95,2
395,great yarmouth,54.44640580123581,1.6914927061833396,38,93,100,6
396,danane,6.928217196733328,-7.993019352426614,72,33,24,2
397,nishihara,20.11725331564054,133.58066268355515,64,59,75,13
398,kaohsiung,22.222601289971053,119.74539289193143,59,87,75,3
399,terrace,54.6065178201095,-128.73963832060693,34,93,90,0
400,takoradi,-1.871646577361176,-0.7245340224238817,77,88,24,1
401,taoudenni,25.34304703624909,-7.308126424411967,72,25,0,12
402,vardo,78.14499985878024,35.530343333980085,10,92,75,13
403,saint anthony,56.380771086480735,-55.624767494439496,22,92,75,6
404,baturaja,-5.505639524854047,103.40756216976393,73,97,100,0
405,marystown,39.22140661453693,-52.55267397378773,32,92,67,13
406,bariri,-21.98362516255031,-49.04265406720549,80,42,15,2
407,mattru,3.399536080462269,-14.981187051574778,74,93,72,1
408,tongren,27.341006861094172,108.64465337561211,32,86,7,1
409,cukai,3.8706849992595096,105.53645921630186,77,100,40,6
410,sambava,-11.922508481653992,53.7591216610856,68,86,23,2
411,mazagao,-0.3437826096939318,-51.964867255780206,77,100,75,6
412,yellowknife,87.54997023182543,-111.01047150565095,19,92,90,9
413,manono,-8.001534511347117,28.174301937006305,68,92,95,2
414,sao domingos,-13.673519250751198,-46.399854205592305,69,97,97,2
415,manggar,-2.091765546972624,108.49535153562289,81,80,99,7
418,haines junction,57.73901314328219,-141.116558880019,14,86,73,9
419,sao geraldo do araguaia,-6.802900822572212,-49.94397546464714,71,97,100,1
420,puerto palomas,31.53679073164848,-107.42725745175206,55,37,1,20
421,beeskow,52.1185865515632,14.216850457927677,42,81,75,12
422,talnakh,72.64277728016523,88.72222389858791,6,77,40,20
423,khor,47.81973824709223,135.42109426049473,3,87,0,3
424,ashland,41.73522749911271,-123.07564479601136,33,97,90,8
425,sainte-luce-sur-loire,47.30174804023943,-1.2825079549310487,45,87,40,11
426,along,33.84073774885462,95.39576931664203,41,82,0,4
427,esperance,-45.03742341509861,123.01480157888108,82,48,0,14
428,hobyo,3.522837746576215,54.19865822664917,77,75,95,22
429,zhigansk,68.82960276110973,119.53526079467389,-30,87,63,6
430,labuhan,-12.918339313577974,100.24984453756684,78,84,53,2
432,troitskoye,46.79446842874029,142.7394591055999,28,90,100,11
433,hofn,57.355867355542046,-15.452467691853002,40,63,45,10
434,teguise,30.432536789859782,-14.734557577089817,60,82,20,9
435,serra talhada,-7.819945152481068,-38.32552926561968,81,59,100,6
436,brae,64.52846797197944,0.8079523245970393,37,74,69,10
437,elko,40.52458467896082,-116.1974899033134,38,60,40,4
438,ginir,6.093186755881362,40.81241797007678,60,90,98,2
439,hami,46.223123027912266,95.13636985272814,10,65,75,0
441,tessalit,21.020258718532617,1.095326376971343,71,9,90,10
442,sabang,7.281298751844787,90.86998879036474,81,77,100,15
443,sao joao do piaui,-8.446805339058514,-41.692738342250806,73,89,90,0
444,oneonta,42.15719508283749,-74.56764798944052,30,83,99,1
445,manjacaze,-25.947988754584202,35.55266782742078,73,75,90,9
446,nynashamn,58.58618491261467,17.79339119478371,40,100,100,5
447,nizhniy tsasuchey,49.59131371307919,115.47958814027999,1,82,0,2
448,kamenka,66.81488244030623,42.55658033509695,32,95,100,1
449,camiri,-20.125168399482604,-63.8159092655937,71,65,20,3
450,bireun,4.794506501998512,96.31087681921423,66,95,91,0
451,gisborne,-41.05770907246591,179.50713363236116,88,46,0,7
452,eyl,3.997918265920248,55.71832157156956,76,74,68,27
453,angelopolis,6.068264277813498,-75.74380564411918,65,49,1,3
454,korla,36.39854983300545,86.28835826499949,13,60,0,4
455,vagur,60.4914029843533,-5.283513389240198,42,70,87,18
456,panama city,26.069068767588746,-86.93158758693458,77,74,40,5
457,hokitika,-39.40733621880189,166.5788062483337,64,89,99,6
458,bagdarin,53.85590584202376,113.8168643808616,-1,84,0,3
459,hecun,36.509844743130614,113.3686060743579,30,70,73,3
460,kaspiysk,43.204617871195865,48.39550984364769,30,86,0,6
461,bindura,-17.350016900918035,31.531864996719747,63,79,60,4
462,verkhnevilyuysk,60.316014967874054,120.41299509163713,-30,98,46,1
463,norman wells,71.69522195618904,-120.17157474590232,-16,68,75,11
464,tazovskiy,69.984178810982,80.12163384920206,1,94,100,13
465,kindu,-2.7822693486667163,24.765337245605224,68,89,59,1
466,alyangula,-14.906718313950975,140.98337193945844,87,74,100,12
467,west wendover,40.1323590898763,-114.69392448874349,48,45,90,9
468,tukrah,34.19602246040682,21.27820503732906,56,82,1,9
469,puerto baquerizo moreno,4.2901246408014515,-88.49940782692971,78,88,75,9
470,kavaratti,10.239252793358773,66.81034549827527,80,65,51,5
471,amnat charoen,15.620393810708208,104.65047924720699,69,73,100,10
472,djambala,-3.3005108159560734,14.414825045277496,72,82,71,4
473,torrington,42.81503792608018,-104.05580158140764,37,69,90,3
474,acarau,1.914231810790909,-39.6719513769217,78,85,86,4
475,khani,58.237670185169776,121.50392932119121,46,42,99,14
476,broome,-15.41063625351211,118.09848198904047,31,94,90,5
